DATAFLOW,MEASURE: Measure,PROPERTY_TYPE: Property type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2019-Q4,99.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2020-Q1,100.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2020-Q2,99.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2020-Q3,100.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2020-Q4,103.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2021-Q1,109.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2021-Q2,114.4,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2021-Q3,116.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,5GPER: Greater Perth,Q: Quarterly,2021-Q4,120.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2019-Q4,150.4,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q1,153.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q2,150,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q3,149.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q4,154.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2021-Q1,162.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2021-Q2,172.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2021-Q3,178.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,2GMEL: Greater Melbourne,Q: Quarterly,2021-Q4,185.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2019-Q4,166.4,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2020-Q1,169.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2020-Q2,165.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2020-Q3,167.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2020-Q4,172.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2021-Q1,183.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2021-Q2,197.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2021-Q3,210.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,1GSYD: Greater Sydney,Q: Quarterly,2021-Q4,218.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2019-Q4,152.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2020-Q1,156.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2020-Q2,155.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2020-Q3,157.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2020-Q4,162.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2021-Q1,172.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2021-Q2,183.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2021-Q3,198.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,6GHOB: Greater Hobart,Q: Quarterly,2021-Q4,211.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2019-Q4,87.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2020-Q1,88.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2020-Q2,86.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2020-Q3,87.6,IN: Index Numbers,,"imputed
"
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2020-Q4,89.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2021-Q1,93.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2021-Q2,98,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2021-Q3,99.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,7GDAR: Greater Darwin,Q: Quarterly,2021-Q4,101.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2019-Q4,143.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2020-Q1,145.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2020-Q2,143.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2020-Q3,144.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2020-Q4,148.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2021-Q1,156.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2021-Q2,167.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2021-Q3,175.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,100: Weighted average of eight capital cities,Q: Quarterly,2021-Q4,183.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2019-Q4,121.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2020-Q1,122.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2020-Q2,121.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2020-Q3,123,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2020-Q4,126.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2021-Q1,131.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2021-Q2,138.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2021-Q3,146.4,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,4GADE: Greater Adelaide,Q: Quarterly,2021-Q4,156.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2019-Q4,128,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2020-Q1,128.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2020-Q2,129.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2020-Q3,130.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2020-Q4,134.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2021-Q1,142.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2021-Q2,153.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2021-Q3,163.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,8ACTE: Australian Capital Territory,Q: Quarterly,2021-Q4,173.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q4,124,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q1,124.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q2,123.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q3,125.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q4,129,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2021-Q1,134.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2021-Q2,141.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2021-Q3,150.4,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,3: Residential property,3GBRI: Greater Brisbane,Q: Quarterly,2021-Q4,164.9,IN: Index Numbers,,
